scenario_id,tradition,exposure,base,sft48,lift48,sft_score,split,lift
BUD-001,buddhism,6,-1.0,0.3333333333333333,1.3333333333333333,1.0,train,2.0
BUD-002,buddhism,6,0.5,-0.25,-0.75,0.8333333333333334,train,0.33333333333333337
BUD-003,buddhism,6,0.1666666666666666,0.0,-0.1666666666666666,0.5833333333333334,holdout,0.41666666666666674
BUD-004,buddhism,6,0.25,0.75,0.5,1.0,train,0.75
BUD-005,buddhism,6,0.3333333333333333,1.0,0.6666666666666666,0.5833333333333334,holdout,0.25000000000000006
BUD-006,buddhism,6,-0.6666666666666666,0.6666666666666666,1.3333333333333333,1.0,holdout,1.6666666666666665
BUD-007,buddhism,6,0.25,0.6666666666666666,0.4166666666666667,1.0,holdout,0.75
BUD-008,buddhism,6,0.5,0.9166666666666666,0.4166666666666667,0.0,holdout,-0.5
BUD-009,buddhism,6,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.75,holdout,0.4166666666666667
BUD-010,buddhism,6,0.1666666666666666,0.75,0.5833333333333334,0.25,holdout,0.0833333333333334
BUD-011,buddhism,6,0.1666666666666666,0.8333333333333334,0.6666666666666666,0.5833333333333334,holdout,0.41666666666666674
BUD-012,buddhism,6,0.25,0.0,-0.25,0.08333333333333333,train,-0.16666666666666669
BUD-013,buddhism,5,-0.5833333333333334,0.0,0.5833333333333334,0.25,train,0.8333333333333334
BUD-014,buddhism,5,-0.3333333333333333,1.0,1.3333333333333333,1.0,holdout,1.3333333333333333
BUD-015,buddhism,6,0.9166666666666666,0.8333333333333334,-0.0833333333333333,0.16666666666666666,train,-0.75
BUD-016,buddhism,5,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,train,0.6666666666666667
BUD-017,buddhism,6,-0.9166666666666666,0.6666666666666666,1.5833333333333333,1.0,train,1.9166666666666665
BUD-018,buddhism,6,1.0,0.6666666666666666,-0.3333333333333333,0.6666666666666666,holdout,-0.33333333333333337
BUD-019,buddhism,6,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,holdout,0.6666666666666667
BUD-020,buddhism,6,0.0,1.0,1.0,1.0,holdout,1.0
